Driver Name,Driver Code,FP2 Time,Quali Time,Final Position,# Pit Stops,Fast Lap
Max Verstappen,VER,3,1,1,2,1
Sergio Perez,PER,5,9,4,2,0
Lewis Hamilton,HAM,8,11,9,2,0
George Russell,RUS,6,4,3,2,0
Charles Leclerc,LEC,1,2,2,2,0
Carlos Sainz,SAI,19,16,18,2,0
Lando Norris,NOR,2,5,5,2,0
Oscar Piastri,PIA,10,3,6,2,0
Fernando Alonso,ALO,11,7,7,2,0
Lance Stroll,STR,13,13,10,2,0
Pierre Gasly,GAS,9,10,13,2,0
Esteban Ocon,OCO,14,12,12,1,0
Alex Albon,ALB,16,14,14,2,0
Logan Sargeant,SAR,18,20,16,2,0
Yuki Tsunoda,TSU,15,6,8,1,0
Daniel Ricciardo,RIC,12,15,11,2,0
Valtteri Bottas,BOT,4,18,19,1,0
Guanyu Zhou,ZHO,7,19,17,2,0
Kevin Magnussen,MAG,17,17,20,2,0
Nico Hulkenberg,HUL,20,8,15,2,0